legacy_id,legacy_pillar,legacy_level,canonical_action_id,canonical_domain,canonical_subdomain,variant_status,variant_review_flags,family_review_flags,family_status
ALI-BRO-046,Alimentación,Bronce,nutrition.processed_reduction.reduce_carne_procesada_a_hoy,nutrition,processed_reduction,active,,,active
ALI-BRO-047,Alimentación,Bronce,nutrition.meal_planning.cena_temprana_y_ligera,nutrition,meal_planning,active,,,active
ALI-BRO-048,Alimentación,Bronce,nutrition.mediterranean_pattern.legumbres_veces_sem,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-049,Alimentación,Bronce,nutrition.mediterranean_pattern.anade_g_de_frutos_secos_naturales,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-050,Alimentación,Bronce,nutrition.mediterranean_pattern.legumbres_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-051,Alimentación,Bronce,nutrition.processed_reduction.sustituye_refresco_por_agua_infusion,nutrition,processed_reduction,active,,,active
ALI-BRO-052,Alimentación,Bronce,nutrition.mediterranean_pattern.pan_integral_en_comidas,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-053,Alimentación,Bronce,nutrition.mediterranean_pattern.fruta_entera_pieza_s,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-054,Alimentación,Bronce,nutrition.mediterranean_pattern.verduras_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-055,Alimentación,Bronce,nutrition.processed_reduction.carne_roja_g,nutrition,processed_reduction,active,,,active
ALI-BRO-056,Alimentación,Bronce,nutrition.mediterranean_pattern.usa_aove_como_grasa_principal_cucharadas,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-057,Alimentación,Bronce,nutrition.mediterranean_pattern.lacteos_naturales_sin_azucar,nutrition,mediterranean_pattern,active,,,active
ALI-BRO-058,Alimentación,Bronce,nutrition.meal_planning.desayuno_con_proteina_y_fibra,nutrition,meal_planning,active,,,active
ALI-BRO-059,Alimentación,Bronce,nutrition.processed_reduction.postre_fruta_o_yogur_natural,nutrition,processed_reduction,active,,,active
ALI-BRO-060,Alimentación,Bronce,nutrition.mediterranean_pattern.pescado_azul_vez_sem,nutrition,mediterranean_pattern,active,,,active
ALI-INI-001,Alimentación,Inicial,nutrition.mediterranean_pattern.anade_g_de_frutos_secos_naturales,nutrition,mediterranean_pattern,active,,,active
ALI-INI-002,Alimentación,Inicial,nutrition.processed_reduction.elige_agua_tambien_fuera_de_casa,nutrition,processed_reduction,active,,,active
ALI-INI-003,Alimentación,Inicial,nutrition.processed_reduction.salsa_casera_tomate_legumbre_sin_azucar,nutrition,processed_reduction,active,,,active
ALI-INI-004,Alimentación,Inicial,nutrition.meal_planning.planifica_menu_mediterraneo_semanal,nutrition,meal_planning,active,,,active
ALI-INI-005,Alimentación,Inicial,nutrition.meal_planning.registra_lo_que_comes_foto_nota,nutrition,meal_planning,active,,,active
ALI-INI-006,Alimentación,Inicial,nutrition.meal_planning.usa_metodo_del_plato_verdura,nutrition,meal_planning,active,,,active
ALI-INI-007,Alimentación,Inicial,nutrition.mediterranean_pattern.incluye_cereal_integral_distinto_avena_q,nutrition,mediterranean_pattern,active,,,active
ALI-INI-008,Alimentación,Inicial,nutrition.processed_reduction.reduce_dulces_industriales_a_hoy,nutrition,processed_reduction,active,,,active
ALI-INI-009,Alimentación,Inicial,nutrition.processed_reduction.intercambia_embutido_por_hummus_aguacate,nutrition,processed_reduction,active,,,active
ALI-INI-010,Alimentación,Inicial,nutrition.mediterranean_pattern.anade_racion_de_legumbre_en_ensalada,nutrition,mediterranean_pattern,active,,,active
ALI-INI-011,Alimentación,Inicial,nutrition.mediterranean_pattern.incluye_raciones_de_verduras_de_hoja,nutrition,mediterranean_pattern,active,,,active
ALI-INI-012,Alimentación,Inicial,nutrition.meal_planning.cocina_en_casa_comida_ultraprocesada,nutrition,meal_planning,active,,,active
ALI-INI-013,Alimentación,Inicial,nutrition.hydration.agua_l_dia,nutrition,hydration,active,,,active
ALI-INI-014,Alimentación,Inicial,nutrition.processed_reduction.reduce_upf_snacks_envasados,nutrition,processed_reduction,active,,,active
ALI-INI-015,Alimentación,Inicial,nutrition.mediterranean_pattern.anade_semillas_linaza_chia_cda,nutrition,mediterranean_pattern,active,,,active
ALI-INI-016,Alimentación,Inicial,nutrition.processed_reduction.una_pieza_de_fruta_extra_por_snack,nutrition,processed_reduction,active,,,active
ALI-INI-017,Alimentación,Inicial,nutrition.meal_planning.cena_temprana_y_ligera,nutrition,meal_planning,active,,,active
ALI-INI-018,Alimentación,Inicial,nutrition.mediterranean_pattern.legumbres_veces_sem,nutrition,mediterranean_pattern,active,,,active
ALI-INI-019,Alimentación,Inicial,nutrition.mediterranean_pattern.legumbres_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-INI-020,Alimentación,Inicial,nutrition.processed_reduction.sustituye_refresco_por_agua_infusion,nutrition,processed_reduction,active,,,active
ALI-INI-021,Alimentación,Inicial,nutrition.mediterranean_pattern.pan_integral_en_comidas,nutrition,mediterranean_pattern,active,,,active
ALI-INI-022,Alimentación,Inicial,nutrition.mediterranean_pattern.verduras_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-INI-023,Alimentación,Inicial,nutrition.mediterranean_pattern.pescado_azul_vez_sem,nutrition,mediterranean_pattern,active,,,active
ALI-INI-024,Alimentación,Inicial,nutrition.mediterranean_pattern.fruta_entera_pieza_s,nutrition,mediterranean_pattern,active,,,active
ALI-INI-025,Alimentación,Inicial,nutrition.processed_reduction.carne_roja_g,nutrition,processed_reduction,active,,,active
ALI-INI-026,Alimentación,Inicial,nutrition.mediterranean_pattern.usa_aove_como_grasa_principal_cucharadas,nutrition,mediterranean_pattern,active,,,active
ALI-INI-027,Alimentación,Inicial,nutrition.mediterranean_pattern.lacteos_naturales_sin_azucar,nutrition,mediterranean_pattern,active,,,active
ALI-INI-028,Alimentación,Inicial,nutrition.meal_planning.desayuno_con_proteina_y_fibra,nutrition,meal_planning,active,,,active
ALI-INI-029,Alimentación,Inicial,nutrition.processed_reduction.postre_fruta_o_yogur_natural,nutrition,processed_reduction,active,,,active
ALI-INI-030,Alimentación,Inicial,nutrition.processed_reduction.reduce_carne_procesada_a_hoy,nutrition,processed_reduction,active,,,active
ALI-ORO-091,Alimentación,Oro,nutrition.hydration.agua_l_dia,nutrition,hydration,active,,,active
ALI-ORO-092,Alimentación,Oro,nutrition.meal_planning.cocina_en_casa_comida_ultraprocesada,nutrition,meal_planning,active,,,active
ALI-ORO-093,Alimentación,Oro,nutrition.mediterranean_pattern.incluye_raciones_de_verduras_de_hoja,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-094,Alimentación,Oro,nutrition.mediterranean_pattern.anade_racion_de_legumbre_en_ensalada,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-095,Alimentación,Oro,nutrition.processed_reduction.intercambia_embutido_por_hummus_aguacate,nutrition,processed_reduction,active,,,active
ALI-ORO-096,Alimentación,Oro,nutrition.processed_reduction.reduce_dulces_industriales_a_hoy,nutrition,processed_reduction,active,,,active
ALI-ORO-097,Alimentación,Oro,nutrition.meal_planning.registra_lo_que_comes_foto_nota,nutrition,meal_planning,active,,,active
ALI-ORO-098,Alimentación,Oro,nutrition.meal_planning.usa_metodo_del_plato_verdura,nutrition,meal_planning,active,,,active
ALI-ORO-099,Alimentación,Oro,nutrition.meal_planning.planifica_menu_mediterraneo_semanal,nutrition,meal_planning,active,,,active
ALI-ORO-100,Alimentación,Oro,nutrition.processed_reduction.salsa_casera_tomate_legumbre_sin_azucar,nutrition,processed_reduction,active,,,active
ALI-ORO-101,Alimentación,Oro,nutrition.processed_reduction.elige_agua_tambien_fuera_de_casa,nutrition,processed_reduction,active,,,active
ALI-ORO-102,Alimentación,Oro,nutrition.processed_reduction.reduce_upf_snacks_envasados,nutrition,processed_reduction,active,,,active
ALI-ORO-103,Alimentación,Oro,nutrition.mediterranean_pattern.incluye_cereal_integral_distinto_avena_q,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-104,Alimentación,Oro,nutrition.mediterranean_pattern.anade_semillas_linaza_chia_cda,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-105,Alimentación,Oro,nutrition.processed_reduction.una_pieza_de_fruta_extra_por_snack,nutrition,processed_reduction,active,,,active
ALI-ORO-106,Alimentación,Oro,nutrition.meal_planning.cena_temprana_y_ligera,nutrition,meal_planning,active,,,active
ALI-ORO-107,Alimentación,Oro,nutrition.mediterranean_pattern.legumbres_veces_sem,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-108,Alimentación,Oro,nutrition.mediterranean_pattern.legumbres_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-109,Alimentación,Oro,nutrition.processed_reduction.sustituye_refresco_por_agua_infusion,nutrition,processed_reduction,active,,,active
ALI-ORO-110,Alimentación,Oro,nutrition.mediterranean_pattern.pan_integral_en_comidas,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-111,Alimentación,Oro,nutrition.mediterranean_pattern.verduras_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-112,Alimentación,Oro,nutrition.mediterranean_pattern.fruta_entera_pieza_s,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-113,Alimentación,Oro,nutrition.mediterranean_pattern.pescado_azul_vez_sem,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-114,Alimentación,Oro,nutrition.mediterranean_pattern.anade_g_de_frutos_secos_naturales,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-115,Alimentación,Oro,nutrition.processed_reduction.reduce_carne_procesada_a_hoy,nutrition,processed_reduction,active,,,active
ALI-ORO-116,Alimentación,Oro,nutrition.processed_reduction.carne_roja_g,nutrition,processed_reduction,active,,,active
ALI-ORO-117,Alimentación,Oro,nutrition.mediterranean_pattern.usa_aove_como_grasa_principal_cucharadas,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-118,Alimentación,Oro,nutrition.mediterranean_pattern.lacteos_naturales_sin_azucar,nutrition,mediterranean_pattern,active,,,active
ALI-ORO-119,Alimentación,Oro,nutrition.meal_planning.desayuno_con_proteina_y_fibra,nutrition,meal_planning,active,,,active
ALI-ORO-120,Alimentación,Oro,nutrition.processed_reduction.postre_fruta_o_yogur_natural,nutrition,processed_reduction,active,,,active
ALI-PLA-061,Alimentación,Plata,nutrition.hydration.agua_l_dia,nutrition,hydration,active,,,active
ALI-PLA-062,Alimentación,Plata,nutrition.processed_reduction.intercambia_embutido_por_hummus_aguacate,nutrition,processed_reduction,active,,,active
ALI-PLA-063,Alimentación,Plata,nutrition.meal_planning.cocina_en_casa_comida_ultraprocesada,nutrition,meal_planning,active,,,active
ALI-PLA-064,Alimentación,Plata,nutrition.mediterranean_pattern.incluye_raciones_de_verduras_de_hoja,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-065,Alimentación,Plata,nutrition.mediterranean_pattern.anade_racion_de_legumbre_en_ensalada,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-066,Alimentación,Plata,nutrition.processed_reduction.una_pieza_de_fruta_extra_por_snack,nutrition,processed_reduction,active,,,active
ALI-PLA-067,Alimentación,Plata,nutrition.processed_reduction.elige_agua_tambien_fuera_de_casa,nutrition,processed_reduction,active,,,active
ALI-PLA-068,Alimentación,Plata,nutrition.mediterranean_pattern.incluye_cereal_integral_distinto_avena_q,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-069,Alimentación,Plata,nutrition.meal_planning.usa_metodo_del_plato_verdura,nutrition,meal_planning,active,,,active
ALI-PLA-070,Alimentación,Plata,nutrition.meal_planning.registra_lo_que_comes_foto_nota,nutrition,meal_planning,active,,,active
ALI-PLA-071,Alimentación,Plata,nutrition.meal_planning.planifica_menu_mediterraneo_semanal,nutrition,meal_planning,active,,,active
ALI-PLA-072,Alimentación,Plata,nutrition.processed_reduction.salsa_casera_tomate_legumbre_sin_azucar,nutrition,processed_reduction,active,,,active
ALI-PLA-073,Alimentación,Plata,nutrition.processed_reduction.reduce_upf_snacks_envasados,nutrition,processed_reduction,active,,,active
ALI-PLA-074,Alimentación,Plata,nutrition.processed_reduction.reduce_dulces_industriales_a_hoy,nutrition,processed_reduction,active,,,active
ALI-PLA-075,Alimentación,Plata,nutrition.mediterranean_pattern.anade_semillas_linaza_chia_cda,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-076,Alimentación,Plata,nutrition.mediterranean_pattern.legumbres_veces_sem,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-077,Alimentación,Plata,nutrition.meal_planning.cena_temprana_y_ligera,nutrition,meal_planning,active,,,active
ALI-PLA-078,Alimentación,Plata,nutrition.mediterranean_pattern.legumbres_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-079,Alimentación,Plata,nutrition.processed_reduction.sustituye_refresco_por_agua_infusion,nutrition,processed_reduction,active,,,active
ALI-PLA-080,Alimentación,Plata,nutrition.mediterranean_pattern.pan_integral_en_comidas,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-081,Alimentación,Plata,nutrition.mediterranean_pattern.verduras_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-082,Alimentación,Plata,nutrition.mediterranean_pattern.fruta_entera_pieza_s,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-083,Alimentación,Plata,nutrition.mediterranean_pattern.pescado_azul_vez_sem,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-084,Alimentación,Plata,nutrition.mediterranean_pattern.anade_g_de_frutos_secos_naturales,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-085,Alimentación,Plata,nutrition.processed_reduction.carne_roja_g,nutrition,processed_reduction,active,,,active
ALI-PLA-086,Alimentación,Plata,nutrition.mediterranean_pattern.usa_aove_como_grasa_principal_cucharadas,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-087,Alimentación,Plata,nutrition.mediterranean_pattern.lacteos_naturales_sin_azucar,nutrition,mediterranean_pattern,active,,,active
ALI-PLA-088,Alimentación,Plata,nutrition.meal_planning.desayuno_con_proteina_y_fibra,nutrition,meal_planning,active,,,active
ALI-PLA-089,Alimentación,Plata,nutrition.processed_reduction.postre_fruta_o_yogur_natural,nutrition,processed_reduction,active,,,active
ALI-PLA-090,Alimentación,Plata,nutrition.processed_reduction.reduce_carne_procesada_a_hoy,nutrition,processed_reduction,active,,,active
ALI-PTN-121,Alimentación,Platino,nutrition.processed_reduction.reduce_upf_snacks_envasados,nutrition,processed_reduction,active,,,active
ALI-PTN-122,Alimentación,Platino,nutrition.hydration.agua_l_dia,nutrition,hydration,active,,,active
ALI-PTN-123,Alimentación,Platino,nutrition.meal_planning.cocina_en_casa_comida_ultraprocesada,nutrition,meal_planning,active,,,active
ALI-PTN-124,Alimentación,Platino,nutrition.mediterranean_pattern.incluye_raciones_de_verduras_de_hoja,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-125,Alimentación,Platino,nutrition.mediterranean_pattern.anade_racion_de_legumbre_en_ensalada,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-126,Alimentación,Platino,nutrition.processed_reduction.reduce_dulces_industriales_a_hoy,nutrition,processed_reduction,active,,,active
ALI-PTN-127,Alimentación,Platino,nutrition.processed_reduction.una_pieza_de_fruta_extra_por_snack,nutrition,processed_reduction,active,,,active
ALI-PTN-128,Alimentación,Platino,nutrition.meal_planning.planifica_menu_mediterraneo_semanal,nutrition,meal_planning,active,,,active
ALI-PTN-129,Alimentación,Platino,nutrition.mediterranean_pattern.incluye_cereal_integral_distinto_avena_q,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-130,Alimentación,Platino,nutrition.meal_planning.usa_metodo_del_plato_verdura,nutrition,meal_planning,active,,,active
ALI-PTN-131,Alimentación,Platino,nutrition.meal_planning.registra_lo_que_comes_foto_nota,nutrition,meal_planning,active,,,active
ALI-PTN-132,Alimentación,Platino,nutrition.mediterranean_pattern.anade_semillas_linaza_chia_cda,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-133,Alimentación,Platino,nutrition.processed_reduction.intercambia_embutido_por_hummus_aguacate,nutrition,processed_reduction,active,,,active
ALI-PTN-134,Alimentación,Platino,nutrition.mediterranean_pattern.legumbres_veces_sem,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-135,Alimentación,Platino,nutrition.processed_reduction.reduce_carne_procesada_a_hoy,nutrition,processed_reduction,active,,,active
ALI-PTN-136,Alimentación,Platino,nutrition.processed_reduction.postre_fruta_o_yogur_natural,nutrition,processed_reduction,active,,,active
ALI-PTN-137,Alimentación,Platino,nutrition.meal_planning.desayuno_con_proteina_y_fibra,nutrition,meal_planning,active,,,active
ALI-PTN-138,Alimentación,Platino,nutrition.mediterranean_pattern.lacteos_naturales_sin_azucar,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-139,Alimentación,Platino,nutrition.mediterranean_pattern.usa_aove_como_grasa_principal_cucharadas,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-140,Alimentación,Platino,nutrition.processed_reduction.carne_roja_g,nutrition,processed_reduction,active,,,active
ALI-PTN-141,Alimentación,Platino,nutrition.mediterranean_pattern.pescado_azul_vez_sem,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-142,Alimentación,Platino,nutrition.mediterranean_pattern.fruta_entera_pieza_s,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-143,Alimentación,Platino,nutrition.mediterranean_pattern.verduras_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-144,Alimentación,Platino,nutrition.mediterranean_pattern.pan_integral_en_comidas,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-145,Alimentación,Platino,nutrition.processed_reduction.sustituye_refresco_por_agua_infusion,nutrition,processed_reduction,active,,,active
ALI-PTN-146,Alimentación,Platino,nutrition.mediterranean_pattern.legumbres_racion_es,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-147,Alimentación,Platino,nutrition.mediterranean_pattern.anade_g_de_frutos_secos_naturales,nutrition,mediterranean_pattern,active,,,active
ALI-PTN-148,Alimentación,Platino,nutrition.processed_reduction.salsa_casera_tomate_legumbre_sin_azucar,nutrition,processed_reduction,active,,,active
ALI-PTN-149,Alimentación,Platino,nutrition.meal_planning.cena_temprana_y_ligera,nutrition,meal_planning,active,,,active
ALI-PTN-150,Alimentación,Platino,nutrition.processed_reduction.elige_agua_tambien_fuera_de_casa,nutrition,processed_reduction,active,,,active
MEN-BRO-031,Mente,Bronce,mind.stress.practica_decir_no_limites_en_ocasion,mind,stress,active,,,active
MEN-BRO-032,Mente,Bronce,mind.emotional_wellbeing.voluntariado_ayuda_a_otro_min,mind,emotional_wellbeing,active,,,active
MEN-BRO-033,Mente,Bronce,mind.stress.micro_pausa_de_min_por_cada_min_de_traba,mind,stress,active,,,active
MEN-BRO-034,Mente,Bronce,mind.emotional_wellbeing.sesion_de_compasion_lkm_min,mind,emotional_wellbeing,active,,,active
MEN-BRO-035,Mente,Bronce,mind.social.quedar_con_amigos_familia_h,mind,social,active,,,active
MEN-BRO-036,Mente,Bronce,mind.stress.desconexion_laboral_a_hora_pactada,mind,stress,active,,,active
MEN-BRO-037,Mente,Bronce,mind.self_tracking.chequeo_de_estres_escala_accion,mind,self_tracking,active,,,active
MEN-BRO-038,Mente,Bronce,mind.emotional_wellbeing.espacio_de_ocio_creativo_min,mind,emotional_wellbeing,active,,,active
MEN-BRO-039,Mente,Bronce,mind.emotional_wellbeing.jardineria_o_cuidado_de_plantas_min,mind,emotional_wellbeing,active,,,active
MEN-BRO-040,Mente,Bronce,mind.sleep.respiracion_diafragmatica_min_antes_de_d,mind,sleep,active,,,active
MEN-BRO-041,Mente,Bronce,mind.sleep.evita_noticias_scroll_h_antes_de_dormir,mind,sleep,active,,,active
MEN-BRO-042,Mente,Bronce,mind.stress.musica_relajante_min,mind,stress,active,,,active
MEN-BRO-043,Mente,Bronce,mind.stress.respiracion_durante_min,mind,stress,active,,,active
MEN-BRO-044,Mente,Bronce,mind.self_tracking.plan_anti_estres_semanal_acciones,mind,self_tracking,active,,,active
MEN-BRO-045,Mente,Bronce,mind.sleep.cafeina_antes_de_las_o_menos,mind,sleep,active,,,active
MEN-BRO-046,Mente,Bronce,mind.emotional_wellbeing.gratitud_cosas_del_dia,mind,emotional_wellbeing,active,,,active
MEN-BRO-047,Mente,Bronce,mind.emotional_wellbeing.mindful_walk_min_sin_movil,mind,emotional_wellbeing,active,,,active
MEN-BRO-048,Mente,Bronce,mind.sleep.sin_alcohol_h_antes_de_dormir,mind,sleep,active,,CROSS_PILLAR_DUPLICATE_RESOLVED,active
MEN-BRO-049,Mente,Bronce,mind.sleep.acuestate_y_despiertate_a_horas_regulare,mind,sleep,active,,,active
MEN-BRO-050,Mente,Bronce,mind.sleep.tiempo_en_cama_h,mind,sleep,active,,,active
MEN-BRO-051,Mente,Bronce,mind.sleep.siesta_breve_min_antes_de,mind,sleep,active,,,active
MEN-BRO-052,Mente,Bronce,mind.emotional_wellbeing.meditacion_mindfulness_min,mind,emotional_wellbeing,active,,,active
MEN-BRO-053,Mente,Bronce,mind.sleep.cierre_digital_min_antes_de_dormir,mind,sleep,active,,,active
MEN-BRO-054,Mente,Bronce,mind.stress.respiracion_lenta_min,mind,stress,active,,,active
MEN-BRO-055,Mente,Bronce,mind.social.conecta_con_un_a_amig_llamada_o_cafe,mind,social,active,,,active
MEN-BRO-056,Mente,Bronce,mind.sleep.paseo_tranquilo_post_cena_min,mind,sleep,active,,,active
MEN-BRO-057,Mente,Bronce,mind.stress.diario_min_preocupaciones_plan,mind,stress,active,,,active
MEN-BRO-058,Mente,Bronce,mind.stress.estiramientos_yoga_suave_min,mind,stress,active,,,active
MEN-BRO-059,Mente,Bronce,mind.self_tracking.mbsr_semanas_modulo_completado,mind,self_tracking,active,,,active
MEN-BRO-060,Mente,Bronce,mind.sleep.rutina_pre_sueno_relajante_min,mind,sleep,active,,,active
MEN-INI-001,Mente,Inicial,mind.sleep.acuestate_y_despiertate_a_horas_regulare,mind,sleep,active,,,active
MEN-INI-002,Mente,Inicial,mind.self_tracking.chequeo_de_estres_escala_accion,mind,self_tracking,active,,,active
MEN-INI-003,Mente,Inicial,mind.stress.musica_relajante_min,mind,stress,active,,,active
MEN-INI-004,Mente,Inicial,mind.sleep.evita_noticias_scroll_h_antes_de_dormir,mind,sleep,active,,,active
MEN-INI-005,Mente,Inicial,mind.sleep.respiracion_diafragmatica_min_antes_de_d,mind,sleep,active,,,active
MEN-INI-006,Mente,Inicial,mind.emotional_wellbeing.jardineria_o_cuidado_de_plantas_min,mind,emotional_wellbeing,active,,,active
MEN-INI-007,Mente,Inicial,mind.emotional_wellbeing.espacio_de_ocio_creativo_min,mind,emotional_wellbeing,active,,,active
MEN-INI-008,Mente,Inicial,mind.self_tracking.plan_anti_estres_semanal_acciones,mind,self_tracking,active,,,active
MEN-INI-009,Mente,Inicial,mind.emotional_wellbeing.voluntariado_ayuda_a_otro_min,mind,emotional_wellbeing,active,,,active
MEN-INI-010,Mente,Inicial,mind.social.quedar_con_amigos_familia_h,mind,social,active,,,active
MEN-INI-011,Mente,Inicial,mind.emotional_wellbeing.sesion_de_compasion_lkm_min,mind,emotional_wellbeing,active,,,active
MEN-INI-012,Mente,Inicial,mind.stress.micro_pausa_de_min_por_cada_min_de_traba,mind,stress,active,,,active
MEN-INI-013,Mente,Inicial,mind.stress.practica_decir_no_limites_en_ocasion,mind,stress,active,,,active
MEN-INI-014,Mente,Inicial,mind.stress.respiracion_durante_min,mind,stress,active,,,active
MEN-INI-015,Mente,Inicial,mind.sleep.cafeina_antes_de_las_o_menos,mind,sleep,active,,,active
MEN-INI-016,Mente,Inicial,mind.stress.desconexion_laboral_a_hora_pactada,mind,stress,active,,,active
MEN-INI-017,Mente,Inicial,mind.emotional_wellbeing.mindful_walk_min_sin_movil,mind,emotional_wellbeing,active,,,active
MEN-INI-018,Mente,Inicial,mind.sleep.sin_alcohol_h_antes_de_dormir,mind,sleep,active,,CROSS_PILLAR_DUPLICATE_RESOLVED,active
MEN-INI-019,Mente,Inicial,mind.sleep.tiempo_en_cama_h,mind,sleep,active,,,active
MEN-INI-020,Mente,Inicial,mind.sleep.siesta_breve_min_antes_de,mind,sleep,active,,,active
MEN-INI-021,Mente,Inicial,mind.emotional_wellbeing.meditacion_mindfulness_min,mind,emotional_wellbeing,active,,,active
MEN-INI-022,Mente,Inicial,mind.stress.respiracion_lenta_min,mind,stress,active,,,active
MEN-INI-023,Mente,Inicial,mind.sleep.rutina_pre_sueno_relajante_min,mind,sleep,active,,,active
MEN-INI-024,Mente,Inicial,mind.sleep.cierre_digital_min_antes_de_dormir,mind,sleep,active,,,active
MEN-INI-025,Mente,Inicial,mind.social.conecta_con_un_a_amig_llamada_o_cafe,mind,social,active,,,active
MEN-INI-026,Mente,Inicial,mind.sleep.paseo_tranquilo_post_cena_min,mind,sleep,active,,,active
MEN-INI-027,Mente,Inicial,mind.stress.diario_min_preocupaciones_plan,mind,stress,active,,,active
MEN-INI-028,Mente,Inicial,mind.stress.estiramientos_yoga_suave_min,mind,stress,active,,,active
MEN-INI-029,Mente,Inicial,mind.self_tracking.mbsr_semanas_modulo_completado,mind,self_tracking,active,,,active
MEN-INI-030,Mente,Inicial,mind.emotional_wellbeing.gratitud_cosas_del_dia,mind,emotional_wellbeing,active,,,active
MEN-ORO-091,Mente,Oro,mind.stress.practica_decir_no_limites_en_ocasion,mind,stress,active,,,active
MEN-ORO-092,Mente,Oro,mind.stress.micro_pausa_de_min_por_cada_min_de_traba,mind,stress,active,,,active
